,Latin Name,Common Name,Habit,Height,Hardiness,Growth,Soil,Shade,Moisture,Edible,Medicinal,Other
89,Caltha palustris,"Marsh Marigold, Yellow marsh marigold",Perennial,0.3,3-7,,LMH,SN,WeWa,2,2,3.0
90,Camelina sativa,Gold Of Pleasure,Annual,0.6,6-9,,LMH,SN,DM,3,0,2.0
91,Campanula lactiflora,Milky Bellflower,Perennial,1.0,4-8,,LM,SN,M,3,0,
92,Campanula lasiocarpa,Mountain harebell,Perennial,0.2,4-8,,L,N,M,2,0,
93,Canarium luzonicum,Manila Elemi,Tree,30.0,10-12,,LMH,N,M,4,3,4.0
94,Carduus nutans,"Musk Thistle, Nodding plumeless thistle",Biennial,0.9,6-9,,LMH,N,M,2,2,3.0
95,Carpobrotus acinaciformis,Hottentot Fig,Perennial,0.1,8-11,,L,N,DM,2,0,3.0
96,Carpobrotus edulis,"Hottentot Fig,",Perennial,0.1,7-10,,L,N,DM,2,2,2.0
97,Carpobrotus glaucescens,Pigface,Perennial,0.3,8-11,,LMH,SN,DM,3,2,2.0
98,Carya hybrids,Hybrid and neohybrid hickories,Tree,40.0,4-11,M,LMH,N,DM,4,3,3.0
99,Carya tomentosa,"Mockernut,White Heart Hickory, Mockernut Hickory",Tree,30.0,4-9,M,LMH,N,DM,3,1,4.0
100,Cassia leiandra,Marimari,Tree,10.0,9-11,F,MH,N,MWe,4,0,2.0
101,Castanospermum australe,Moreton Bay Chestnut,Tree,25.0,8-12,S,LMH,N,M,4,1,3.0
102,Catharanthus roseus,"Madagascar Periwinkle, Jasmine, Cayenne Old Maid Periwinkle",Perennial,0.7,9-12,F,LMH,SN,M,1,4,1.0
103,Ceanothus maritimus,Maritime Ceanothus,Shrub,1.0,7-10,,LM,SN,DM,0,0,3.0
104,Centaurea melitensis,Maltese Star Thistle,Annual,0.5,6-9,,LMH,N,DM,0,1,0.0
105,Centaurea montana,"Mountain Cornflower, Perennial cornflower, Mountain Bluet",Perennial,0.5,3-9,F,LMH,N,DM,0,2,3.0
106,Cephalaria syriaca,"Makhobeli, Syrian cephalaria",Annual,0.0,0-0,,LMH,N,M,2,0,2.0
107,Cercocarpus ledifolius,"Mountain Mahogany, Curl-leaf mountain mahogany",Tree,8.0,0-0,S,LMH,N,DM,1,2,2.0
108,Cercocarpus montanus,"Mountain Mahogany, Alderleaf mountain mahogany, Silver mountain mahogany, Island mountain mahogany,",Shrub,4.0,6-7,M,LMH,N,DM,0,1,3.0
109,Chaenactis douglasii,"Morning Brides, Douglas' dustymaiden, Alpine dustymaiden",Biennial/Perennial,0.4,6-9,,L,N,DM,0,2,
110,Chenopodium ambrosioides,Mexican Tea,Annual/Perennial,1.0,7-10,,LMH,N,M,2,3,3.0
111,Chenopodium incanum,Mealy Goosefoot,Annual,0.5,-,,LMH,N,M,2,0,1.0
112,Chenopodium simplex,Mapleleaf goosefoot,Annual,1.2,0-0,,LMH,N,M,2,0,1.0
113,Chenopodium spp.,Perennial quinoa,Perennial,2.0,4-10,F,LMH,N,DM,5,3,2.0
114,Choisya ternata,Mexican Orange Flower,Shrub,3.0,6-9,M,LM,FSN,M,0,0,3.0
115,Chorispora tenella,"Musk Mustard, Crossflower",Annual,0.2,7-10,,LMH,N,DM,2,0,0.0
116,Cirsium palustre,Marsh Thistle,Biennial,1.5,4-8,,LMH,SN,MWe,2,0,2.0
117,Cirsium scopulorum,Mountain thistle,Perennial,0.6,4-8,,LMH,N,M,1,0,2.0
118,Citrullus colocynthis,"Perennial egusi, Bitter-apple",Perennial,3.0,10-12,F,LM,N,DM,3,2,3.0
119,Citrus reticulata,"Mandarin, Tangerine, Unshu orange, Satsuma Orange,Temple Orange, Tangerine",Tree,4.5,9-11,,MH,N,M,3,3,2.0
120,Claytonia perfoliata,Miner's Lettuce,Annual,0.2,6-10,,LMH,FSN,DM,4,1,2.0
121,Commiphora myrrha,"Myrrh, Myrrh Gum",Shrub,5.0,10-12,M,LMH,N,DM,2,4,2.0
122,Coprosma repens,"Mirror Plant, Creeping mirrorplant",Shrub,2.0,8-11,,LM,SN,M,1,0,1.0
123,Cordia bicolor,Muneco,Tree,15.0,10-12,F,LMH,N,M,1,0,4.0
124,Coriaria napalensis,Masuri Berry,Shrub,2.5,7-10,,LMH,SN,M,2,1,2.0
125,Cornus nuttallii,"Mountain Dogwood, Pacific dogwood, Western Dogwood",Tree,10.0,6-8,M,LMH,SN,DM,1,2,3.0
126,Corylus hybrids & neohybrids,"Hybrid & Neohybrids, Hazel, Filbert",Shrub,25.0,4-9,M,LMH,SN,M,5,2,5.0
127,Couepia bracteosa,Pajura,Tree,15.0,10-12,M,LMH,SN,M,4,0,2.0
128,Crataegus dispessa,Mink hawthorn,Tree,8.0,0-0,,LMH,SN,MWe,3,2,2.0
129,Crataegus jonesiae,Miss jones' hawthorn,Tree,6.0,4-8,,LMH,SN,MWe,2,2,2.0
130,Crataegus laevigata,"Midland Hawthorn, Smooth hawthorn, English Hawthorn",Shrub,6.0,4-8,M,LMH,FSN,MWe,3,5,5.0
131,Crataegus pubescens,Manzanilla,Tree,10.0,6-9,M,LMH,SN,MWe,3,2,2.0
132,Crataegus pubescens stipulacea,Manzanilla,Tree,9.0,6-9,,LMH,SN,DM,3,2,2.0
133,Crataegus tanacetifolia,Tansy-Leaved Thorn,Tree,10.0,6-8,,LMH,SN,DMWe,5,2,3.0
134,Crinum flaccidum,Murray Lily,Bulb,0.6,9-11,,LM,N,M,2,0,
135,Crocosmia aurea,Montbretia,Corm,1.0,6-9,F,LM,SN,M,1,0,
136,Cryptotaenia japonica,"Mitsuba, Japanese honewort",Perennial,1.0,4-8,,LMH,FSN,M,4,1,
137,Cucumis melo,"Melon, Cantaloupe",Annual Climber,1.5,9-11,,LMH,N,M,4,2,0.0
138,Cucurbita ficifolia,"Malabar Gourd, Figleaf gourd",Perennial Climber,0.0,9-11,F,LMH,SN,MWe,3,2,1.0
139,Cupressus lusitanica,Mexican Cypress,Tree,35.0,9-12,F,MH,SN,M,0,2,4.0
140,Cupressus macrocarpa,Monterey Cypress,Tree,25.0,7-10,F,LMH,N,DM,0,1,3.0
141,Cymopterus montanus,Mountain Spring Parsley,Perennial,0.2,-,,LMH,N,DM,2,0,
142,Cystopteris montana,Mountain Bladder Fern,Fern,0.3,4-8,,LMH,FS,M,1,0,
143,Dactyladenia barteri,Monkey Fruit,Tree,10.0,10-12,M,LMH,N,M,0,2,4.0
144,Dactylorhiza incarnata,Marsh Orchid,Bulb,0.3,6-9,,LMH,SN,M,2,2,
145,Dalbergia greveana,Madagascar Rosewood,Tree,15.0,10-12,S,LMH,N,DM,0,2,4.0
146,Daphne mezereum,"Mezereon, Paradise plant, February Daphne",Shrub,1.5,4-7,M,MH,S,M,0,2,2.0
147,Delphinium menziesii,Menzies' Larkspur,Perennial,0.5,3-7,,LMH,N,M,0,1,1.0
148,Dendrocalamus strictus,Male Bamboo. Calcutta Stricta or Bamboo,Bamboo,15.0,9-12,F,LMH,SN,DM,3,1,3.0
149,Descurainia incana,Mountain Tansy Mustard,Annual/Biennial,1.0,-,,LMH,SN,DM,2,1,
150,Dichrostachys cinerea,"Marabou Thorn, Sickle Bush",Shrub,8.0,8-12,M,LMH,SN,M,2,2,4.0
151,Diospyros mun,"Mun Ebony, Vietnamese Ebony",Tree,15.0,10-12,S,LMH,N,DM,0,0,4.0
152,Disphyma australe,Pig's Face,Perennial,0.1,8-11,,LM,N,DM,1,0,
153,Dracocephalum moldavica,"Moldavian Balm, Moldavian dragonhead",Annual,0.3,6-9,,LMH,SN,M,1,1,2.0
154,Dracocephalum parviflorum,American Dragonhead,Annual/Biennial,1.0,6-9,,LMH,SN,M,1,1,
155,Drimys lanceolata,Mountain Pepper,Shrub,4.5,7-10,S,LM,S,M,3,1,4.0
156,Dryas octopetala,"Mountain Avens, Eightpetal mountain-avens, Alaskan mountain-avens, Hooker's mountain-avens, Kamtsch",Shrub,0.1,3-6,M,LMH,N,M,1,1,2.0
157,Dryopteris filix-mas,Male Fern,Fern,1.2,3-8,M,LMH,S,DM,2,4,3.0
158,Dryopteris marginalis,"Marginal Woodfern, Leather Wood Fern",Fern,0.8,3-8,M,LMH,S,M,0,4,0.0
159,Dryopteris oreades,Mountain Male Fern,Fern,0.6,5-9,,LMH,S,M,0,4,
160,Duchesnea indica,"Mock Strawberry, Indian strawberry",Perennial,0.1,5-11,F,LMH,SN,M,2,2,3.0
161,Dudleya edulis,"Mission Lettuce, Fingertips",Perennial,0.5,7-10,,LM,N,DM,3,0,
162,Dysoxylum acutangulum,Membalo,Tree,40.0,10-12,S,LM,N,M,0,0,4.0
163,Empetrum eamesii hermaphroditum,"Mountain Crowberry, Rockberry",Shrub,0.3,3-8,,LMH,N,M,2,0,3.0
164,Ensete ventricosum,"Ethiopian Banana, Abyssinian banana",Perennial,6.0,9-11,,LMH,N,M,2,0,1.0
165,Ephedra equisetina,"Muzei Ma Huang, Ma huang",Shrub,1.5,0-0,,LM,N,DM,1,4,
166,Ephedra gerardiana,"Ma Huang, Gerard jointfir",Shrub,0.6,6-9,,LM,N,DM,2,4,3.0
167,Ephedra major,Ma Huang,Shrub,2.0,5-9,,LM,N,DM,1,4,
168,Ephedra nevadensis,"Mormon Tea, Nevada jointfir",Shrub,1.2,5-9,,LM,N,DM,3,3,0.0
169,Ephedra sinica,"Ma Huang, Chinese ephedra",Shrub,0.4,0-0,,LM,N,DM,1,4,
170,Ephedra torreyana,"Mexican Tea, Torrey's jointfir",Shrub,1.0,0-0,,LM,N,DM,2,3,
171,Ephedra viridis,"Mormon Tea, Brigham Tea, Long Leaf Ephedra, Mountain Joint Fir, Mormon Tea, Ephedra",Shrub,1.8,6-11,,LM,N,DM,2,3,1.0
172,Epigaea repens,"Mayflower, Trailing arbutus, Ground Laurel",Shrub,0.1,3-8,,LM,S,M,2,2,2.0
173,Epilobium palustre,Marsh Willow Herb,Perennial,0.4,-,,LMH,SN,M,1,0,
174,Equisetum palustre,Marsh Horsetail,Perennial,0.6,0-0,,LMH,SN,MWe,0,2,3.0
175,Equisetum pratense,Meadow Horsetail,Perennial,0.6,4-8,,LMH,SN,M,2,2,2.0
176,Eriobotrya japonica,"Loquat, Japanese Loquat",Tree,9.0,8-11,M,LMH,SN,DM,4,3,2.0
177,Eriophyton wallichii,Mian Shen,Perennial,0.2,-,,LMH,SN,M,0,2,
178,Erodium moschatum,Musk Storksbill,Annual/Biennial,0.5,5-9,,LM,N,DM,2,1,1.0
179,Erythrina poeppigiana,Mountain Immortelle. Madre de Cacao,Tree,25.0,10-12,F,LMH,N,DM,1,0,3.0
180,Erythrina verna,Mulungu,Tree,12.0,10-12,F,LMH,N,DM,0,4,2.0
181,Erythronium helenae,"Mt. St. Helena Fawm Lily, Pacific fawnlily",Bulb,0.3,4-8,,LM,S,M,2,0,
182,Eucalyptus coccifera,Mt. Wellington Peppermint,Tree,15.0,7-10,F,LMH,N,DMWe,0,0,2.0
183,Eucalyptus obliqua,Messmate,Tree,60.0,8-12,F,LMH,N,DMWe,0,0,4.0
184,Eucalyptus regnans,Mountain Ash,Tree,75.0,8-11,F,LMH,N,DMWe,0,0,3.0
185,Eucalyptus viminalis,Manna Gum,Tree,30.0,7-10,F,LMH,N,DMWe,3,2,3.0
186,Euclea divinorum,Magic Guarri,Tree,8.0,10-12,F,LMH,N,DM,2,2,4.0
187,Euphorbia helioscopia,Madwoman's Milk,Annual,0.4,-,,LM,N,DM,1,2,
188,Euphorbia lactea,Mottled Spurge,Shrub,5.0,10-11,M,LMH,SN,DM,0,0,4.0
189,Euphorbia marginata,"Mountain Snow, Ghost Spurge, Ghost Weed",Annual,0.6,4-8,F,LM,N,DM,1,1,3.0
190,Ferula moschata,Musk Root,Perennial,2.5,8-11,,LMH,N,DM,0,2,1.0
191,Festuca pratensis,Meadow fescue,Perennial,1.0,4-10,M,LMH,SN,DM,1,0,3.0
192,Ficus macrophylla,Moreton Bay Fig,Tree,35.0,9-11,,LMH,SN,M,1,0,3.0
193,Filipendula ulmaria,"Meadowsweet, Queen of the meadow, Double Lady of the Meadow, European Meadowsweet",Perennial,1.2,3-9,M,LMH,SN,MWe,3,3,3.0
194,Fraxinus ornus,"Manna Ash, Flowering ash",Tree,9.0,5-6,S,LMH,N,DM,3,3,
195,Furcraea foetida,Mauritius Hemp,Perennial,2.0,9-11,F,LM,SN,DM,0,2,3.0
196,Garcinia madruno,"Madruno, Charichuela, Madrono",Tree,10.0,10-12,M,LM,SN,M,4,2,2.0
197,Garcinia mangostana,"Mangosteen, Manggis",Tree,12.0,11-12,S,MH,SN,M,5,2,2.0
198,Garcinia xanthochymus,"Mysore Gamboge. Gamboge, Himalayan garcinia",Tree,12.0,11-12,S,LMH,SN,M,2,0,2.0
199,Gaultheria depressa,Mountain Snowberry,Shrub,0.1,8-11,,LM,SN,M,2,0,3.0
200,Gaultheria ovatifolia,"Mountain Checkerberry, Western teaberry",Shrub,0.2,5-9,,LM,FS,M,3,0,3.0
201,Gentiana pneumonanthe,Marsh Gentian,Perennial,0.3,-,,LMH,SN,M,0,2,2.0
202,Geranium pratense,"Meadow Crane's Bill, Meadow geranium, Geranium",Perennial,1.2,5-9,F,LMH,N,M,0,2,
203,Ginkgo biloba,"Maidenhair Tree, Ginkgo",Tree,30.0,3-8,S,LMH,N,DM,5,5,2.0
204,Gluta laccifera,Lacquer tree,Tree,18.0,10-12,M,LMH,N,M,0,0,4.0
205,Gluta usitata,Burmese Varnish Tree,Tree,25.0,10-12,M,LMH,N,M,0,2,4.0
206,Gnaphalium uliginosum,Marsh Cudweed,Annual,0.2,-,,LM,SN,M,0,2,1.0
207,Gossypium hirsutum,Upland Cotton,Shrub,2.0,5-10,F,LMH,N,M,2,1,4.0
208,Grindelia hirsutula,"Gumweed, Gum Plant",Perennial,1.0,8-11,F,LM,N,DM,0,3,3.0
209,Guarea guidonia,"Muskwood , Carrapeta, Cedro Macho",Tree,15.0,10-12,S,LMH,SN,M,0,2,4.0
210,Guiera senegalensis,"Moshi medicine, guier du Senegal",Shrub,2.5,10-12,S,LM,N,DM,1,4,4.0
211,Gustavia superba,Membrillo,Tree,15.0,10-12,M,LMH,SN,M,3,0,2.0
212,Gypsophila oldhamiana,"Manchurian Baby's Breath, Oldham's baby's-breath",Perennial,1.0,0-0,,LMH,N,DM,1,1,
213,Hancornia speciosa,"Mangaba Rubber Tree, Mangabiera",Tree,7.0,10-12,S,LM,N,M,3,2,3.0
214,Helianthus hybrids,Perennial Sunflower,Perennial,3.6,4-11,F,LMH,N,DM,4,2,2.0
215,Helianthus maximilianii,"Maximillian Sunflower, Maximillian Daisy",Perennial,2.4,5-10,M,LMH,N,M,3,0,0.0
216,Hibiscus radiatus,"Monarch Rosemallow. Ruby hibiscus, Clavelina",Shrub,2.0,9-11,M,LMH,SN,M,2,1,2.0
217,Hordeum murinum,"Mouse Barley, Smooth barley, Hare barley, Wall barley",Annual,0.5,0-0,,LMH,N,DM,2,1,
218,Hypericum japonicum,Matted St. John's Wort,Annual/Perennial,0.5,-,,LMH,SN,MWe,0,2,
219,Ilex integra,Mochi Tree,Tree,6.0,6-9,,LMH,SN,M,1,0,
220,Intsia bijuga,"Moluccan Ironwood, Ipil",Tree,25.0,11-12,S,LM,SN,DM,1,2,4.0
221,Ipomoea alba,"Moonflower, Tropical white morning-glory",Perennial Climber,10.0,7-10,F,LM,N,M,2,1,0.0
222,Ipomoea tricolor,"Morning Glory, Grannyvine",Perennial Climber,5.0,10-11,F,LMH,N,M,0,1,
223,Iris douglasiana,"Mountain Iris, Douglas iris",Perennial,0.3,6-9,,LM,SN,DMWe,0,0,1.0
224,Juglans mandschurica,Manchurian Walnut,Tree,20.0,4-8,,LMH,N,M,3,1,4.0
225,Kalmia latifolia,"Mountain Laurel, Calico Bush, Ivy",Shrub,3.0,4-8,S,LMH,SN,M,0,2,2.0
226,Lactuca sibirica,Prickly lettuce,Perennial,1.0,0-0,,LM,SN,M,2,2,
227,Lacunaria jenmanii,Moela de mutum,Tree,10.0,10-12,S,LMH,SN,M,4,0,2.0
228,Lathyrus polymorphus,"Manystem Peavine, Hoary pea",Perennial,0.4,0-0,,LMH,N,M,1,0,
229,Lathyrus pratensis,Meadow Vetchling,Perennial,1.2,4-8,,LMH,N,MWe,0,1,1.0
230,Lecythis corrugata,"Mahot rouge, Guacharaco",Tree,25.0,10-12,M,LMH,N,M,3,0,4.0
231,Lecythis ollaria,"Monkey Pot. Sapucaia nut, Pot nut",Tree,35.0,11-12,S,LMH,N,M,3,0,3.0
232,Leichhardtia leptophylla,Milk Vine,Climber,0.0,-,,LMH,SN,M,1,0,
233,Leonurus cardiaca,"Motherwort, Common motherwort",Perennial,1.0,3-7,,LMH,SN,M,2,3,1.0
234,Lepidium meyenii,Maca,Perennial,0.1,0-0,,LMH,SN,M,5,3,0.0
235,Lepidium spp.,Perennial Lepidium,Perennial,1.2,3-10,F,LMH,SN,M,5,3,2.0
236,Leucopogon suaveolens,Mingmingi,,0.0,-,,LMH,SN,M,0,0,
237,Ligusticum mutellina,"Mountain Lovage, Alpine lovage",Perennial,0.5,5-9,,LMH,N,M,1,1,
238,Lilium canadense,"Meadow Lily, Canada lily",Bulb,1.5,4-8,,LM,SN,M,3,1,0.0
239,Lilium canadense editorum,Meadow Lily,Bulb,1.5,4-8,,LM,SN,M,3,0,
240,Lilium canadense flavum,Meadow Lily,Bulb,1.5,4-8,,LM,SN,M,3,0,
241,Lilium candidum,Madonna Lily,Bulb,1.0,5-9,,LMH,SN,M,3,2,2.0
242,Lilium concolor,Morning Star Lily,Bulb,0.6,4-8,,LMH,N,M,2,2,
243,Limnanthes alba,"Meadowfoam, White meadowfoam",Annual,0.2,0-0,,LMH,N,M,0,0,2.0
244,Linum hybrids,Perennial Flax,Perennial,0.8,7-11,F,LMH,N,M,4,4,4.0
245,Liparis japonica,,Perennial,0.3,-,,LMH,S,M,1,0,
246,Lippia graveolens,Mexican Oregano,Shrub,2.0,9-12,F,LMH,N,DM,4,0,1.0
247,Lithospermum multiflorum,"Manyflowered Gromwell, Manyflowered stoneseed",Perennial,0.5,3-7,,LM,N,DM,1,1,1.0
248,Litsea cubeba,"Mountain Pepper, Litsea",Shrub,7.0,10-12,,LMH,SN,M,2,2,4.0
249,Lonicera morrowii,Morrow's honeysuckle,Shrub,2.0,3-7,,LMH,N,M,1,1,0.0
250,Lonicera villosa,"Mountain fly honeysuckle, Fuller's honeysuckle",Shrub,1.5,3-9,S,LMH,N,M,3,0,0.0
251,Lophomyrtus bullata,,Shrub,5.0,8-11,,LMH,N,M,2,0,
252,Lysimachia barystachys,Manchurian yellow loosestrife,Perennial,0.6,4-8,,LMH,SN,M,1,0,
253,Macadamia integrifolia,"Macadamia, Macadamia nut",Tree,10.0,9-12,S,LMH,N,M,4,0,3.0
254,Macadamia ternifolia,"Macadamia Nut, Gympie nut",Tree,8.0,10-12,M,LMH,N,M,4,0,2.0
255,Maclura pomifera,"Osage Orange, Bois D'Arc",Tree,15.0,4-9,M,LMH,N,DM,1,2,4.0
256,Macrotomia perennis,,Perennial,0.0,-,,L,N,DM,1,1,
257,Macrozamia spp.,"Burrawang, Cycads",Perennial,2.0,10-12,S,LM,FSN,DMWe,2,0,3.0
258,Madia densifolia,Showy Tarweed,Annual,0.8,-,,LMH,N,M,2,0,
259,Madia dissitiflora,Grassy Tarweed,Annual,0.8,-,,LMH,N,M,2,0,
260,Madia glomerata,Mountain Tarweed,Annual,0.8,-,,LMH,N,M,2,1,1.0
261,Madia sativa,"Chile Tarweed, Coast tarweed",Annual,0.8,0-0,,LMH,N,M,3,0,2.0
262,Magnolia denudata,"Lily Tree, Yulan Magnolia",Tree,10.0,5-9,S,LMH,SN,M,1,2,
263,Magnolia grandiflora,"Southern Magnolia, Bull Bay, Large-flowered Magnolia, Southern Magnolia",Tree,10.0,6-10,M,LMH,SN,M,2,2,3.0
264,Magnolia hypoleuca,Whitebark Magnolia,Tree,15.0,5-9,M,LMH,SN,M,2,2,2.0
265,Magnolia kobus,"Kobus magnolia, Northern Japanese Magnolia",Tree,12.0,4-7,M,LMH,SN,M,1,1,2.0
266,Magnolia liliiflora,"Mu-Lan, Woody Orchid, Lily Magnolia",Shrub,3.0,4-9,M,LMH,SN,M,0,3,
267,Magnolia virginiana,"Laurel Magnolia, Sweetbay",Tree,10.0,4-8,S,LMH,SN,M,1,3,2.0
268,Mahonia fremontii,"Mahonia, Fremont's mahonia",Shrub,2.5,7-10,S,LMH,N,DM,3,2,2.0
269,Mahonia gracilis,Mexican Barberry,Shrub,1.5,7-10,,LMH,N,DM,2,0,
270,Mahonia haematocarpa,"Mexican Barberry, Red barberry",Shrub,3.6,7-10,,LMH,N,DM,3,2,2.0
271,Mahonia napaulensis,,Shrub,2.5,5-9,,LMH,SN,M,3,2,1.0
272,Mahonia nervosa,"Oregon Grape, Cascade barberry",Shrub,0.6,5-9,S,LMH,FSN,DM,3,2,3.0
273,Mahonia pinnata,"California Barberry, Wavyleaf barberry, Island barberry, Creeping Holly Grape",Shrub,1.8,7-8,F,LMH,SN,M,3,2,2.0
274,Mahonia repens,"Creeping Oregon Grape, Creeping barberry, Grape Oregon",Shrub,0.3,4-8,S,LMH,SN,DM,3,3,4.0
275,Mahonia trifoliolata,"Mexican Barberry, Algerita",Shrub,2.0,6-9,,LMH,N,DM,3,2,4.0
276,Maianthemum canadense,"Canada Beadruby, Canada mayflower",Perennial,0.1,3-7,F,LMH,FS,M,1,1,2.0
277,Maianthemum dilatatum,"Wild Lily Of The Valley, False lily of the valley",Perennial,0.2,3-7,,LMH,FS,M,2,1,
278,Malpighia emarginata,"Acerola, Barbados Cherry",Shrub,4.0,10-12,M,LMH,SN,M,4,0,2.0
279,Malus baccata mandschurica,Manchurian Apple,Tree,7.0,0-0,,LMH,SN,M,4,0,2.0
280,Malus bracteata,,Tree,7.0,5-9,,LMH,SN,M,2,0,
281,Malus fusca,"Oregon Crab, Oregon crab apple",Tree,12.0,5-9,S,LMH,SN,M,3,2,2.0
282,Malus prunifolia rinkii,Chinese Apple,Tree,8.0,3-7,,LMH,SN,M,3,0,
283,Malus pumila paradisiaca,Paradise Apple,Tree,5.0,3-7,,LMH,SN,M,3,0,2.0
284,Malus sylvestris,"Crab Apple, European crab apple",Tree,10.0,4-8,,LMH,SN,M,3,2,2.0
285,Malva moschata,Musk Mallow,Perennial,0.8,3-10,M,LMH,SN,M,5,2,2.0
286,Malva nicaeensis,Bull Mallow,Perennial,0.5,6-9,,LMH,SN,M,3,1,1.0
287,Malva pusilla,"Dwarf Mallow, Low mallow",Annual,0.3,5-9,,LMH,SN,M,4,2,1.0
288,Malva sylvestris,"Mallow, High mallow, French Hollyhock, Common Mallow, Tree Mallow, Tall Mallow",Biennial/Perennial,0.5,4-8,F,LMH,SN,M,3,3,3.0
289,Mammea americana,"Mammee Apple, Mammey",Tree,18.0,10-12,M,LMH,SN,M,4,2,3.0
290,Mandragora officinarum,Mandrake,Perennial,0.1,6-9,,LM,SN,DM,1,2,
291,Mangifera indica,"Mango, Bowen Mango",Tree,25.0,10-12,M,LMH,N,M,5,3,3.0
292,Manicaria saccifera,"Ubussu, Troolie Palm",Tree,10.0,11-12,M,LMH,SN,MWe,2,2,4.0
293,Manihot caerulescens,Manicoba,Shrub,3.5,10-12,M,LM,N,DM,0,0,3.0
294,Manihot carthaginensis glaziovii,"Ceara Rubber Tree, Tree cassava",Tree,6.0,10-12,F,LMH,N,DMWe,2,2,3.0
295,Manihot dichotoma,"Jequie manicoba, Manihot rubber tree",Tree,5.0,10-12,F,LMH,N,DM,0,0,1.0
296,Manihot heptaphylla,Manicoba de Sao Francisco,Tree,6.0,10-12,M,LM,N,DM,0,0,3.0
297,Manilkara huberi,"Cow Tree, Massaranduba. Black balata",Tree,40.0,10-12,M,LMH,N,M,3,0,3.0
298,Mansonia altissima,Mansonia,Tree,35.0,10-12,F,LMH,N,DM,0,2,4.0
299,Maranta arundinacea,Arrowroot,Perennial,1.0,10-12,M,LMH,FSN,MWe,4,3,2.0
300,Margyricarpus pinnatus,Pearl Berry,Shrub,0.3,8-11,M,LMH,SN,M,2,1,
301,Marrubium vulgare,"White Horehound, Horehound",Perennial,0.5,3-7,,LMH,N,DM,1,3,3.0
302,Matricaria matricarioides,Pineapple Weed,Annual,0.3,5-9,,LMH,N,DM,1,2,1.0
303,Matricaria recutita,German Camomile,Annual,0.5,5-9,,LMH,N,DM,1,5,4.0
304,Matteuccia pensylvanica,Ostrich Fern,Fern,0.6,-,,LMH,S,M,2,0,
305,Mauritia flexuosa,"Buriti Palm, Aguaje Palm",Tree,25.0,11-12,S,LMH,SN,MWe,4,2,3.0
306,Maytenus boaria,"Mayten Tree, Mayten",Tree,10.0,7-10,S,LMH,SN,M,1,0,
307,Mazus miquelii,Miquel's mazus,Perennial,0.2,0-0,,LMH,N,MWe,1,0,
308,Meconopsis napaulensis,Himalayan Poppy,Perennial,2.0,7-10,,LMH,S,M,1,1,
309,Medicago arborea,Moon Trefoil,Shrub,2.0,7-10,,LMH,N,DM,2,0,
310,Medicago polymorpha,"Toothed Bur-Clover, Burclover",Annual,0.6,0-0,,LM,N,DM,2,0,3.0
311,Melaleuca alternifolia,Tea Tree,Shrub,6.0,8-11,,LMH,N,M,0,5,3.0
312,Melaleuca linariifolia,"Flax-Leaved Paper-Bark, Cajeput tree",Shrub,10.0,8-11,,LMH,N,M,0,3,2.0
313,Melaleuca thymifolia,Thymeleaf melaleuca,Shrub,1.0,8-11,,LMH,N,M,0,2,3.0
314,Melia azederach,"Bead Tree, Pride of India, Chinaberry",Tree,9.0,7-12,F,LMH,N,DM,3,3,4.0
315,Melicoccus bijugatus,"Mamoncillo, Spanish Lime, Guayo",Tree,18.0,9-12,S,LMH,SN,DM,4,2,2.0
316,Melilotus altissimus,"Tall Melilot, Tall yellow sweetclover",Biennial/Perennial,1.2,0-0,,LMH,SN,DM,2,0,1.0
317,Melilotus officinalis,"Melilot, Sweetclover",Annual/Biennial,1.2,0-0,,LMH,N,DM,2,3,3.0
318,Melilotus wolgicus,Sweetclover,Biennial,1.2,0-0,,LMH,N,DM,1,0,
319,Melittis melissophyllum,Bastard Balm,Perennial,0.3,5-9,,LMH,S,M,1,1,
320,Menispermum davuricum,,Climber,3.6,4-8,F,LMH,SN,M,0,2,
321,Mentha aquatica,Water Mint,Perennial,1.0,5-9,,LMH,SN,MWeWa,3,3,3.0
322,Mentha arvensis,"Corn Mint, Wild mint",Perennial,0.5,4-8,,LMH,SN,DM,3,2,3.0
323,Mentha arvensis villosa,American Wild Mint,Perennial,0.6,4-8,,LMH,SN,M,3,2,2.0
324,Mentha cunninghamia,,Perennial,0.0,-,,LMH,SN,M,0,2,2.0
325,Mentha diemenica,,Perennial,0.1,-,,LMH,SN,M,2,2,2.0
326,Mentha longifolia,Horsemint,Perennial,1.0,5-9,,LMH,SN,M,2,2,2.0
327,Mentha pulegium,Pennyroyal,Perennial,0.4,6-9,,LMH,SN,M,3,3,3.0
328,Mentha species,Mint,Perennial,0.0,0-0,,LMH,SN,M,2,2,2.0
329,Mentha spicata,Spearmint,Perennial,0.6,3-9,,LMH,SN,M,4,3,3.0
330,Mentha suaveolens,"Round-Leaved Mint, Apple mint, Pineapple Mint",Perennial,1.0,5-10,F,LMH,SN,M,2,2,2.0
331,Mentha x gracilis,Ginger Mint,Perennial,0.5,5-9,,LMH,SN,M,3,2,2.0
332,Mentha x piperita citrata,"Eau De Cologne Mint, Eau de Cologne Mint, Peppermint",Perennial,0.3,3-9,F,LMH,SN,M,2,2,3.0
333,Mentha x piperita officinalis,White Peppermint,Perennial,0.5,3-7,,LMH,SN,M,3,5,3.0
